Date,ABBV,BIIB,CI,CVS,HCA,MCK,MRNA,REGN,TEVA,VRTX,^GSPC
2022-02-16,126.08171081542969,214.5500030517578,212.1040496826172,90.37759399414062,243.06117248535156,269.9519348144531,151.80999755859375,626.6664428710938,8.489999771118164,235.77000427246094,4475.009765625
2022-02-17,125.3038330078125,210.60000610351562,210.35348510742188,88.95156860351562,241.91336059570312,267.5345153808594,146.36000061035156,622.514404296875,8.319999694824219,232.77000427246094,4380.259765625
2022-02-18,124.4913330078125,209.7899932861328,211.7798614501953,88.8037338256836,235.45074462890625,265.0484924316406,145.74000549316406,611.0023193359375,8.149999618530273,229.61000061035156,4348.8701171875
2022-02-22,125.81378173828125,209.80999755859375,210.92774963378906,88.62116241455078,235.672607421875,263.2769775390625,144.97000122070312,598.8443603515625,8.029999732971191,230.2100067138672,4304.759765625
2022-02-23,126.85099792480469,209.0800018310547,208.4824981689453,88.89939880371094,233.21298217773438,262.5919189453125,135.72999572753906,604.8935546875,8.010000228881836,230.69000244140625,4225.5
2022-02-24,125.56312561035156,203.1199951171875,207.87123107910156,87.62120819091797,234.9298858642578,260.9280700683594,156.22999572753906,605.688232421875,7.929999828338623,230.25,4288.7001953125
2022-02-25,129.25384521484375,207.3800048828125,215.6607208251953,90.69060516357422,244.3150634765625,269.52130126953125,151.3300018310547,614.508544921875,8.359999656677246,230.3000030517578,4384.64990234375
2022-02-28,127.72393035888672,211.00999450683594,220.23622131347656,90.12543487548828,241.440673828125,269.5703125,153.60000610351562,614.2105712890625,8.130000114440918,230.02000427246094,4373.93994140625
2022-03-01,127.65481567382812,210.33999633789062,219.60641479492188,88.73419189453125,243.47592163085938,266.4232177734375,149.52000427246094,602.9566650390625,7.789999961853027,230.69000244140625,4306.259765625
2022-03-02,129.27978515625,207.7899932861328,222.76480102539062,90.80365753173828,251.87733459472656,268.43304443359375,147.86000061035156,612.7305297851562,7.940000057220459,234.11000061035156,4386.5400390625
2022-03-03,130.00582885742188,211.22999572753906,220.2640380859375,90.8992919921875,254.75169372558594,274.66839599609375,141.52000427246094,607.0490112304688,7.789999961853027,235.69000244140625,4363.490234375
2022-03-04,130.13551330566406,209.4499969482422,223.8021697998047,91.46446990966797,256.0057067871094,276.2958068847656,136.4600067138672,616.246826171875,7.460000038146973,238.66000366210938,4328.8701171875
2022-03-07,129.17608642578125,205.77999877929688,220.30108642578125,90.91667175292969,250.61375427246094,272.9624938964844,126.45999908447266,614.4390869140625,7.329999923706055,235.5399932861328,4201.08984375
2022-03-08,127.18807220458984,202.00999450683594,213.20062255859375,89.00374603271484,248.88717651367188,267.4036560058594,129.27999877929688,610.6148681640625,7.389999866485596,238.7100067138672,4170.7001953125
2022-03-09,128.64883422851562,202.27000427246094,215.21067810058594,90.08193969726562,254.99281311035156,271.10955810546875,142.49000549316406,619.2465209960938,7.820000171661377,239.24000549316406,4277.8798828125
2022-03-10,128.93406677246094,198.63999938964844,213.5355987548828,90.49932098388672,257.63580322265625,274.629150390625,139.52000427246094,626.1300659179688,7.71999979019165,241.92999267578125,4259.52001953125
2022-03-11,128.8389892578125,197.6699981689453,211.11607360839844,89.96891784667969,257.5393371582031,275.7174377441406,138.1999969482422,638.26806640625,7.480000019073486,236.47999572753906,4204.31005859375
2022-03-14,131.46658325195312,193.77000427246094,210.5018310546875,90.85580444335938,252.16668701171875,279.2664489746094,150.07000732421875,652.0051879882812,7.340000152587891,241.67999267578125,4173.10986328125
2022-03-15,134.7338104248047,197.36000061035156,216.90438842773438,93.02091217041016,257.7033386230469,284.9331970214844,148.1199951171875,661.46142578125,7.5,246.99000549316406,4262.4501953125
2022-03-16,134.8807373046875,203.8000030517578,221.01763916015625,93.13396453857422,257.45196533203125,285.6488342285156,169.36000061035156,673.430419921875,7.769999980926514,248.52000427246094,4357.85986328125
2022-03-17,137.076171875,205.32000732421875,225.56825256347656,94.3947525024414,258.0512390136719,289.1390686035156,168.25999450683594,680.6318969726562,7.880000114440918,250.0,4411.669921875
